"Designator","Quantity","Value","Footprint","LCSC Part #"
"C2, C1, ","2","22pF","0805","C1804"
"C3, ","1","1uF","0805","C28323"
"C4, C5, C6, ","3","0.1uF","0805","C49678"
"C7, ","1","10uF","0805","C15850"
"D20, D7, D43, D32, D21, D8, D33, D22, D9, D44, D34, D23, D10, D35, D24, D11, D36, D12, D45, D37, D25, D13, D46, D38, D30, D42, D5, D18, D29, D41, D4, D17, D28, D3, D16, D27, D40, D2, D15, D26, D39, D1, D14, D31, D6, D19, ","46","D_Small","SOD-123","C81598"
"D47, ","1","PRTR5V0U2X","SOT-143","C78442"
"F1, ","1","Polyfuse_Small","1206","C151162"
"R4, R1, ","2","10k","0805","C17414"
"R5, R8, ","2","5.1k","0805","C27834"
"R6, R7, ","2","22","0805","C17561"
"SW1, ","1","SW_Push","SMD-SW-4_5.1x5.1x1.5","C318884"
"U1, ","1","ATmega32U4-AU","QFP-44_10.0x10.0x0.8P","C44854"
"Y1, ","1","16MHz","SMD-3225_4P","C13738"
