Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0805_2012Metric",145.415000,-95.455500,90.000000,bottom
"C2","22pF","C_0805_2012Metric",138.176000,-95.455500,270.000000,bottom
"C3","1uF","C_0805_2012Metric",133.301500,-113.665000,0.000000,bottom
"C4","0.1uF","C_0805_2012Metric",143.510000,-119.458500,270.000000,bottom
"C5","0.1uF","C_0805_2012Metric",140.716000,-118.569500,270.000000,bottom
"C6","0.1uF","C_0805_2012Metric",133.301500,-110.871000,180.000000,bottom
"C7","10uF","C_0805_2012Metric",151.686500,-98.171000,0.000000,bottom
"D1","D_Small","D_SOD-123",32.131000,-80.645000,90.000000,bottom
"D2","D_Small","D_SOD-123",51.181000,-80.518000,90.000000,bottom
"D3","D_Small","D_SOD-123",70.612000,-82.169000,82.000000,bottom
"D4","D_Small","D_SOD-123",89.408000,-85.471000,82.000000,bottom
"D5","D_Small","D_SOD-123",108.077000,-87.884000,82.000000,bottom
"D6","D_Small","D_SOD-123",127.127000,-90.551000,82.000000,bottom
"D7","D_Small","D_SOD-123",166.751000,-88.138000,98.000000,bottom
"D8","D_Small","D_SOD-123",185.420000,-85.725000,98.000000,bottom
"D9","D_Small","D_SOD-123",204.470000,-83.185000,98.000000,bottom
"D10","D_Small","D_SOD-123",223.266000,-80.391000,98.000000,bottom
"D11","D_Small","D_SOD-123",242.824000,-79.756000,90.000000,bottom
"D12","D_Small","D_SOD-123",261.874000,-80.137000,90.000000,bottom
"D13","D_Small","D_SOD-123",280.162000,-80.137000,90.000000,bottom
"D14","D_Small","D_SOD-123",32.131000,-98.679000,90.000000,bottom
"D15","D_Small","D_SOD-123",53.340000,-98.298000,90.000000,bottom
"D16","D_Small","D_SOD-123",72.390000,-100.330000,82.000000,bottom
"D17","D_Small","D_SOD-123",91.567000,-103.124000,82.000000,bottom
"D18","D_Small","D_SOD-123",110.363000,-105.791000,82.000000,bottom
"D19","D_Small","D_SOD-123",128.167364,-109.837942,82.000000,bottom
"D20","D_Small","D_SOD-123",173.990000,-106.553000,98.000000,bottom
"D21","D_Small","D_SOD-123",192.913000,-103.632000,98.000000,bottom
"D22","D_Small","D_SOD-123",211.963000,-100.965000,98.000000,bottom
"D23","D_Small","D_SOD-123",230.886000,-98.679000,98.000000,bottom
